rssd,name,report_date,drawn,undrawn,ead_basel,ead_us,rwa_reported,cet1,cet1_ratio_reported,card_rwa_us,card_rwa_45,card_rwa_75,card_rwa_100,cet1_ratio_basel_45,cet1_ratio_basel_75,cet1_ratio_basel_100,cet1_ratio_offbs_only,meets_minimum_75,meets_buffer_75,capital_status,outflow_30d,liquid,liquidity_cover,dq30_rate,dq90_rate,nco_rate,yield_rate,allowance_to_cards,notes
100562,TRI COUNTIES BANK,2023-03-31,26.0,53332.0,5359.200000000001,26.0,7823523.0,1029875.0,0.13163826577872909,26.0,2411.6400000000003,4019.4000000000005,5359.200000000001,0.13159813733782613,0.13157110727995408,0.1315485907123955,0.13157099802288666,True,True,above buffer,2666.6000000000004,2667415.0,1000.3056326408159,0.0,0.0,0.0,0.034482758620689655,4169.5,
100562,TRI COUNTIES BANK,2023-06-30,18.0,54997.0,5517.700000000001,18.0,7960411.0,1047217.0,0.13155313211842956,18.0,2482.9650000000006,4138.275000000001,5517.700000000001,0.13151240890890858,0.13148507600028225,0.1314623072538335,0.13148500171059876,True,True,above buffer,2749.8500000000004,2583519.0,939.512700692765,0.0,0.0,0.0,0.045454545454545456,6518.277777777777,
100562,TRI COUNTIES BANK,2023-09-30,17.0,56899.0,5706.900000000001,17.0,8117383.0,1070347.0,0.13185862980716814,17.0,2568.1050000000005,4280.175,5706.900000000001,0.13181720272100655,0.1317894152166756,0.1317662679107558,0.1317893462522428,True,True,above buffer,2844.9500000000003,2423689.0,851.9267473945059,0.0,0.0,0.0,0.058823529411764705,6812.470588235294,
100562,TRI COUNTIES BANK,2023-12-31,13.0,85307.0,8543.7,13.0,8120460.0,1088717.0,0.13407085312900993,13.0,3844.6650000000004,6407.775000000001,8543.7,0.13400762120472198,0.13396535684987676,0.133930156913576,0.1339653032759853,True,True,above buffer,4265.35,2383894.0,558.8976285650649,0.0,0.0,0.0,0.13333333333333333,9347.846153846154,
100562,TRI COUNTIES BANK,2024-03-31,0.0,101718.0,10171.800000000001,0.0,8097762.0,1100831.0,0.13594262217140982,0.0,4577.31,7628.85,10171.800000000001,0.13586582317545526,0.13581467203398342,0.13577207549474565,0.13581467203398342,True,True,above buffer,5085.900000000001,2283936.0,449.07214062407826,,,0.0,0.0,,
100562,TRI COUNTIES BANK,2024-06-30,0.0,104023.0,10402.300000000001,0.0,8041100.0,1110208.0,0.13806668241907202,0.0,4681.035000000001,7801.725,10402.300000000001,0.1379863552302104,0.13793285567789684,0.13788830439755323,0.13793285567789684,True,True,above buffer,5201.150000000001,2270010.0,436.44386337636865,,,,,,
100562,TRI COUNTIES BANK,2024-09-30,0.0,106826.0,10682.6,0.0,7967080.0,1132442.0,0.14214015674500569,0.0,4807.17,8011.950000000001,10682.6,0.14205444405455628,0.1419973596668061,0.14194982437807815,0.1419973596668061,True,True,above buffer,5341.3,2416637.0,452.44359987269013,,,,,,
100562,TRI COUNTIES BANK,2024-12-31,0.0,106998.0,10699.800000000001,0.0,8007044.0,1148328.0,0.14341472333610256,0.0,4814.910000000001,8024.85,10699.800000000001,0.14332853497541184,0.14327113359731153,0.1432233342252717,0.14327113359731153,True,True,above buffer,5349.900000000001,2161607.0,404.0462438550253,,,,,,
100562,TRI COUNTIES BANK,2025-03-31,0.0,109443.0,10944.300000000001,0.0,8047356.0,1165564.0,0.14483813068540774,0.0,4924.935,8208.225,10944.300000000001,0.1447495448070827,0.14469054773131054,0.14464142022604942,0.14469054773131054,True,True,above buffer,5472.150000000001,2265285.0,413.96617417285705,,,,,,
100562,TRI COUNTIES BANK,2025-06-30,0.0,111449.0,11144.900000000001,0.0,8188732.0,1167759.0,0.14260559510312462,0.0,5015.205000000001,8358.675000000001,11144.900000000001,0.14251830948450647,0.14246017840957945,0.14241177205965128,0.14246017840957945,True,True,above buffer,5572.450000000001,2231295.0,400.4154366571256,,,,,,
