name,assets_k,credit_card,auto,other_consumer,commercial_industrial,agricultural,re_construction,re_residential_1_4,re_multifamily,re_nonresidential,loan_hhi,cet1_pct,lev_pct,roa,allow_pct
"RBC Bank, (Georgia) National Association",8785816,0.07825136542371153,0.0,0.0,0.0,0.0,0.0,0.7465051120467248,0.0,0.0,0.5633931585025683,43.93,10.814637360793125,2.29791520154351,0.6855652393568792
WebBank,2592134,0.07220994873752572,0.0,0.2617838391236884,0.6636070224018747,0.0,0.0,0.0,0.0,0.002399189736911082,0.5141250914154893,18.57,16.951745262768554,4.544007055731969,1.014427103263793
Evolve Bank & Trust,1208364,0.05779348935013789,0.000837554519007587,0.009967121530051724,0.25179985120042053,0.0015949176478974262,0.07519279346707475,0.3812822157772105,0.028256327323434152,0.1904991023019384,0.25496425351630403,17.89,12.697313317440887,-0.13820082407451942,1.4352031292462455
First Arkansas Bank and Trust,1150445,0.047031839258114376,0.00038701700154559506,0.054324574961360124,0.28969397217928905,0.0020908809891808347,0.14569273570324576,0.18733601236476044,0.007076352395672334,0.2591950540958269,0.2126435780276105,,10.48925081937199,1.8407629568894837,1.1004636785162287
"Capital Bank, National Association",3756419,0.04390012685358181,1.6310221749114837e-05,0.0009390027664133257,0.2427643362688404,0.0006603975500049763,0.11935320983499714,0.19892079589887796,0.07072478298251378,0.3073524815336668,0.21414527679074047,11.26,9.00418839121436,1.1604557321598072,1.8004820502681034
First Command Bank,1086417,0.042416359272563264,0.07559680095359289,0.44702485462540875,0.2326174675021343,0.0,0.008356018749697975,0.0,0.0,0.1807678677856349,0.2942029757614407,16.74,9.561552488128287,2.073227014473559,1.1718561234516196
TIB National Association,2999669,0.03703684794521481,0.0,0.0,0.09970547057769065,0.0,0.07608298559347225,0.25980989464560034,0.010123597978684057,0.08558428238518911,0.09202986764883195,20.45,12.941210102507922,1.3443311480361626,1.485637719734152
"Transportation Alliance Bank, Inc. d/b/a TAB Bank",1592347,0.023231457445592726,0.0,0.03650960800639989,0.5742730730926842,0.0,0.13610879822370248,2.775464890369137e-05,0.04604332990481788,0.0792762567141761,0.3585925334026996,,11.274938037105354,0.5926946501542172,1.611892050742029
First Bank & Trust,4868698,0.020187805859492158,0.0029543270932863895,0.00495419699236607,0.22241414346677504,0.05017491665769584,0.08042050229317264,0.13631381493316785,0.075229993673411,0.29498052228035826,0.1701483669011143,,10.490347954869463,1.303295537985746,1.255214830583848
CorTrust Bank National Association,1581898,0.016992916710282982,0.005532044284268716,0.008167965186702757,0.17544526027725021,0.029791688474824662,0.06906631175447255,0.19311809304481764,0.07720935333203731,0.35832971941000835,0.20848088777854953,13.42,10.14023661689414,0.26765714492999587,1.2595395113975665
Bank of Travelers Rest,1602060,0.0147284983052663,0.014431195779178549,0.012616775950848896,0.08326984685640834,0.0,0.11823787043949402,0.25895377929440927,0.009471052899082188,0.4498722801464215,0.2910302616089106,15.33,10.228428579380703,1.9143223555413518,1.3098799531748522
Bankers' Bank,1446572,0.012173523187514955,0.0,0.0,0.035030569464694114,6.226866080570309e-05,0.09540537342960662,0.08557493099298054,0.15614756249327277,0.24563207583255423,0.1025177713853001,15.63,14.715973577181163,0.8656873032528857,1.340110535768453
The Bank of Missouri,4236274,0.01076717548200438,0.0015512675588721216,0.011182659699769965,0.32375738124787556,0.019721271432298047,0.08728045975194264,0.21977312791001005,0.03936981731658538,0.2142624285590065,0.20882763804965376,10.9,10.525155303577957,0.8523171782840976,1.0659351952127618
"Merchants Bank, National Association",2930432,0.008593403088698895,0.0067087815708450375,0.0013821866221802436,0.15885725500778922,0.020606699949707444,0.032488500177863915,0.2204541049765097,0.1523854617715246,0.29957189995461403,0.1884011955646348,13.29,11.294130929598197,1.2229585035055752,1.3039264992701445
Bank of Guam,3142342,0.007609938735411674,0.039345853795458394,0.10840712070353367,0.10838856270631274,0.0,0.018342840440659643,0.11246494278337482,0.08633470275887827,0.47827264481617143,0.2742894185538399,14.29,8.541599323108704,0.7213455283740666,1.7226460920337479
Banco do Brasil Americas,3393780,0.007375918054471033,0.0012397342704242524,0.03954747552610001,0.030432876665281765,0.0,0.04032880862919925,0.7042549263815358,0.005862860299262981,0.16160859218371154,0.5262992282474221,23.2,10.950552730870971,1.5720535927361161,1.3379494632985707
Liberty Bank,9017093,0.005641039497373383,0.0,0.020890489856168922,0.15940249094834083,0.0,0.07310199577352222,0.3168498804014869,0.18792609636710628,0.23326474076560114,0.22134379349030814,13.69,13.04515093241905,0.2566047730976516,1.2080587497475774
