rssd,cert,name,city,state,total_assets_k,total_loans_k,total_equity_k,credit_card_loans_k,other_revolving_k,unused_card_lines_k,unused_revolving_k,card_exposure_k,card_share_of_loans,utilisation,allowance_k,cet1_k,tier1_k,rwa_k,cet1_ratio,tier1_rbc_ratio_pct,leverage_ratio_pct,net_income_ytd_k,card_net_chargeoffs_ytd_k
2808602,35278,"CAPITAL BANK, NATIONAL ASSOCIATION",ROCKVILLE,MD,3547608.0,2941578.0,334760.0,137905.0,0.0,138632.0,55501.0,276537.0,0.046881299764956086,0.4986855285187877,53982.0,316082.0,316082.0,2787983.0,0.11337300119835737,,,50211.0,6961.0
2576134,34404,WEBBANK,SALT LAKE CITY,UT,2940956.0,2147644.0,442934.0,91334.0,0.0,158911.0,0.0,250245.0,0.04252753249607477,0.3649783212451797,21329.0,438556.0,438556.0,2628510.0,0.16684585563684368,,,104283.0,0.0
1218446,27351,BANKERS' BANK OF KANSAS,WICHITA,KS,214160.0,154405.0,36442.0,25580.0,0.0,198903.0,0.0,224483.0,0.16566821022635278,0.11395072232641225,2845.0,36460.0,36460.0,180415.0,0.20208962669401104,,,1255.0,844.0
2608754,34598,MERCANTILE BANK,GRAND RAPIDS,MI,6241994.0,4635332.0,725795.0,1194.0,1143.0,204783.0,103113.0,205977.0,0.0002575867273368984,0.005796763716337261,55793.0,717619.0,717619.0,5619370.0,0.12770452915540353,,,98707.0,5.0
110936,26725,BANCO DO BRASIL AMERICAS,MIAMI,FL,3205995.0,1991658.0,353783.0,16356.0,0.0,165491.0,189.0,181847.0,0.008212253308549963,0.08994374391658921,26939.0,351317.0,351317.0,1489127.0,0.23592144927867134,,,50359.0,134.0
2941068,57038,NICOLET NATIONAL BANK,GREEN BAY,WI,9170369.0,6849965.0,1190618.0,14929.0,4611.0,143120.0,324520.0,158049.0,0.002179427194153547,0.0944580478206126,68806.0,835920.0,835920.0,7491237.0,0.11158637752349845,,,149015.0,243.0
37640,17393,GERMAN AMERICAN BANK,JASPER,IN,8376930.0,5882914.0,1119548.0,13916.0,6108.0,126498.0,631191.0,140414.0,0.002365494379146117,0.09910692665973478,77694.0,884561.0,884561.0,6851110.0,0.1291120708907024,,,121555.0,604.0
592448,1299,EVOLVE BANK & TRUST,WEST MEMPHIS,AR,1286556.0,888691.0,162355.0,56621.0,286.0,82147.0,20634.0,138768.0,0.0637128090641179,0.408026346131673,13852.0,158346.0,158346.0,892916.0,0.17733583002208494,,,-3020.0,0.0
2568063,34415,FIRST COMMAND BANK,FORT WORTH,TX,1076009.0,500482.0,93702.0,21981.0,11429.0,109685.0,0.0,131666.0,0.0439196614463657,0.16694514908936248,5786.0,93765.0,93765.0,589482.0,0.1590633810701599,,,22166.0,303.0
3636446,58626,GBANK,LAS VEGAS,NV,1355585.0,1005278.0,178715.0,11289.0,69.0,116585.0,3652.0,127874.0,0.011229729487763584,0.08828221530569154,9890.0,178732.0,178732.0,,,,,24792.0,379.0
450856,13421,UNION BANK AND TRUST COMPANY,LINCOLN,NE,9093084.0,6854945.0,955606.0,18226.0,835.0,104558.0,111612.0,122784.0,0.002658810537502489,0.14843953609590826,108721.0,945051.0,945351.0,7639417.0,0.12370721483066051,,,141821.0,392.0
779351,8866,"MERCHANTS BANK, NATIONAL ASSOCIATION",WINONA,MN,2898711.0,2051191.0,335617.0,18865.0,1342.0,100569.0,104012.0,119434.0,0.009197095736086985,0.15795334661821592,25996.0,315202.0,315202.0,2443229.0,0.12901042022667544,,,34690.0,229.0
